"campaign_type","class_of_mail","days_to_response","n","mean_daily_resp_rate","mean_pct_resp","n_daily_resp","mean_cum_rr"
"bau","3rd",77,775,5.55285834006323e-05,0.00474434408,453.02318316696,0.944277182863226
"bau","3rd",78,775,4.63985919801611e-05,0.0042390591316129,404.775039300321,0.948516241994839
"bau","3rd",79,775,4.04726209733683e-05,0.0035890415716129,342.706812548601,0.952105283566452
"bau","3rd",80,775,4.09742236512327e-05,0.00384961499741935,367.588187258582,0.955954898563871
"bau","3rd",81,775,4.02246634720415e-05,0.00400558894451613,382.481671545012,0.959960487508387
"bau","3rd",82,775,5.04304687986065e-05,0.00462501264258065,441.628582202098,0.964585500150968
"bau","3rd",83,775,7.45709895302739e-05,0.00662560942064516,632.659566749144,0.971211109571613
"bau","3rd",84,775,5.93032503153974e-05,0.00621332264387097,593.291539295307,0.977424432215484
"bau","3rd",85,775,4.21677739077499e-05,0.00365453058967742,348.960162416528,0.981078962805161
"bau","3rd",86,775,4.39413591644999e-05,0.00397295034451613,379.365109546812,0.985051913149677
"bau","3rd",87,775,4.02746616535642e-05,0.00319308888,304.89847788456,0.988245002029677
"bau","3rd",88,775,3.77599410383708e-05,0.00399690874193548,381.652825041194,0.992241910771613
"bau","3rd",89,775,3.31544836224263e-05,0.00322061175612903,307.526554757493,0.995462522527742
"bau","3rd",90,775,5.05255750990296e-05,0.0045374778116129,433.270143797481,1.00000000033935
"latest inquiry","1st",0,239,0.000487900181133621,0.017635862539749,618.17225374328,0.017635862539749
"latest inquiry","1st",1,239,0.000347391507383195,0.0141281927698745,495.22141296964,0.0317640553096234
"latest inquiry","1st",2,239,0.00080296308158129,0.0283047860460251,992.139360485272,0.0600688413556485
"latest inquiry","1st",3,239,0.00218984014661297,0.0799510106150628,2802.44282407918,0.140019851970711
"latest inquiry","1st",4,239,0.0013322875203208,0.0497199041506276,1742.7820802878,0.189739756121339
"latest inquiry","1st",5,239,0.000931180138961749,0.0329008554518828,1153.2407852994,0.222640611573222
"latest inquiry","1st",6,239,0.00147690455853918,0.0541710677447699,1898.80426658967,0.276811679317992
"latest inquiry","1st",7,239,0.00123170041987985,0.0459232781882845,1609.70274705575,0.322734957506276
"latest inquiry","1st",8,239,0.000562804633382745,0.0223682312301255,784.05124107836,0.345103188736402
"latest inquiry","1st",9,239,0.00050254012491144,0.0189328279330544,663.633484709423,0.364036016669456
"latest inquiry","1st",10,239,0.000697269438954168,0.0235448870711297,825.295381617238,0.387580903740586
"latest inquiry","1st",11,239,0.000321818340921025,0.0110736826108787,388.154722876519,0.398654586351464
"latest inquiry","1st",12,239,0.000372467439828774,0.0162954183472803,571.18700390887,0.414950004698745
"latest inquiry","1st",13,239,0.000878246983565013,0.0301476664728033,1056.7360052047,0.445097671171548
"latest inquiry","1st",14,239,0.000889763754102554,0.0299683071171548,1050.44910107051,0.475065978288703
"latest inquiry","1st",15,239,0.000347818894930036,0.0116132477656904,407.067560682979,0.486679226054393
"latest inquiry","1st",16,239,0.000538327811832802,0.0182452392301255,639.53212549436,0.504924465284519
"latest inquiry","1st",17,239,0.00107297048130891,0.0350118917447699,1227.23682943767,0.539936357029289
"latest inquiry","1st",18,239,0.000631544191493636,0.0251358144686192,881.060568754042,0.565072171497908
"latest inquiry","1st",19,239,0.000500778193108021,0.0171434622468619,600.912638677004,0.58221563374477
"latest inquiry","1st",20,239,0.000894525341613277,0.0291336160083682,1021.19150832532,0.611349249753138
"latest inquiry","1st",21,239,0.00082640185206658,0.0291808110083682,1022.84578746532,0.640530060761506
"latest inquiry","1st",22,239,0.000375925386399006,0.012774587958159,447.774857109389,0.653304648719665
"latest inquiry","1st",23,239,0.000350624247722606,0.0109795409330544,384.854868785423,0.66428418965272
"latest inquiry","1st",24,239,0.000479822434566844,0.0184984677112971,648.408290216385,0.682782657364017
"latest inquiry","1st",25,239,0.000357761230666518,0.0162007763514644,567.869612671531,0.698983433715481
"latest inquiry","1st",26,239,0.000338580003782647,0.0105513280711297,369.845151549238,0.709534761786611
"latest inquiry","1st",27,239,0.000444442435562648,0.0168292164225941,589.89769404477,0.726363978209205
"latest inquiry","1st",28,239,0.000395087267180951,0.0135095905355649,473.538167452619,0.73987356874477
"latest inquiry","1st",29,239,0.000264841562328334,0.0112506440167364,394.357574074644,0.751124212761506
"latest inquiry","1st",30,239,0.000156493555233908,0.00587144178661088,205.805777504285,0.756995654548117
"latest inquiry","1st",31,239,0.000387446734145869,0.0134607840711297,471.827403261239,0.770456438619247
"latest inquiry","1st",32,239,0.000184173487150878,0.00691044568619247,242.224942192418,0.777366884305439
"latest inquiry","1st",33,239,0.000179496337835288,0.00795182587866109,278.727400698828,0.7853187101841
"latest inquiry","1st",34,239,0.000371976839413093,0.013736557125523,481.493800363833,0.799055267309623
"latest inquiry","1st",35,239,0.000216330973134197,0.00692553024686193,242.753686213004,0.805980797556485
"latest inquiry","1st",36,239,0.000229055609963721,0.010609123748954,371.871005648335,0.816589921305439
"latest inquiry","1st",37,239,0.000120756205549596,0.00451987754393305,158.430747669941,0.821109798849372
"latest inquiry","1st",38,239,0.000293897045736872,0.0111794809958159,391.863167865339,0.832289279845188
"latest inquiry","1st",39,239,0.000134591397710069,0.00380945451046025,133.528999500653,0.836098734355649
"latest inquiry","1st",40,239,0.000158134776764701,0.00580852810041841,203.600526975866,0.841907262456067
"latest inquiry","1st",41,239,0.000330014082502873,0.0104059388619247,364.748968988184,0.852313201317992
"latest inquiry","1st",42,239,0.000208828178050965,0.008617854,302.073018408,0.860931055317992
"latest inquiry","1st",43,239,0.000168568398398748,0.00600222833891213,210.390107735548,0.866933283656904
"latest inquiry","1st",44,239,0.000128308388547882,0.00465244875313808,163.077633694996,0.871585732410042
"latest inquiry","1st",45,239,0.000218921632791257,0.00874764013389121,306.622281973155,0.880333372543933
"latest inquiry","1st",46,239,0.000123430662550381,0.00445052190376569,155.999693770795,0.884783894447699
"latest inquiry","1st",47,239,0.000113194028501618,0.0037287959916318,130.701757098678,0.888512690439331
"latest inquiry","1st",48,239,0.000198091786448046,0.00730983746025105,256.22442265672,0.895822527899582
"latest inquiry","1st",49,239,0.000215241207436523,0.00797456776150628,279.524549176318,0.903797095661088
"latest inquiry","1st",50,239,4.21194228503134e-05,0.00140140169456067,49.1219321977406,0.905198497355649
"latest inquiry","1st",51,239,6.28354089023126e-05,0.00222860681171548,78.117125964251,0.907427104167364
"latest inquiry","1st",52,239,0.000147367386994888,0.006542240958159,229.318630065389,0.913969345125523
"latest inquiry","1st",53,239,5.1852022172407e-05,0.00164018861924686,57.491891481841,0.91560953374477
"latest inquiry","1st",54,239,3.54018789800644e-05,0.00115654278242678,40.5391376096234,0.916766076527197
"latest inquiry","1st",55,239,0.000110936480246314,0.00401759014644352,140.824569813138,0.92078366667364
"latest inquiry","1st",56,239,0.000134948851943593,0.00469024341422594,164.402412155448,0.925473910087866
"latest inquiry","1st",57,239,3.87704854189917e-05,0.00127820958577406,44.8038024005523,0.92675211967364
"latest inquiry","1st",58,239,5.03347243998816e-05,0.00171326436401674,60.0533424875146,0.928465384037657
"latest inquiry","1st",59,239,5.78011223979608e-05,0.00242044789121339,84.8415394828117,0.93088583192887
"latest inquiry","1st",60,239,7.65515996664036e-05,0.00310331369037657,108.777351475079,0.933989145619247
"latest inquiry","1st",61,239,7.54163763574131e-05,0.00293548935146444,102.894772747531,0.936924634970711
"latest inquiry","1st",62,239,0.000100719385555311,0.00334787858577406,117.349840188552,0.940272513556485
"latest inquiry","1st",63,239,9.524326798364e-05,0.00293923353974895,103.02601403528,0.943211747096234
